entity_id,entity_type,account_id
RINGA001,ring_A_referral,ACC018103
RINGA001,ring_A_referral,ACC018104
RINGA001,ring_A_referral,ACC018105
RINGA001,ring_A_referral,ACC018106
RINGA001,ring_A_referral,ACC018107
RINGA001,ring_A_referral,ACC018108
RINGA001,ring_A_referral,ACC018109
RINGA002,ring_A_referral,ACC018110
RINGA002,ring_A_referral,ACC018111
RINGA002,ring_A_referral,ACC018112
RINGA002,ring_A_referral,ACC018113
RINGA002,ring_A_referral,ACC018114
RINGA002,ring_A_referral,ACC018115
RINGA002,ring_A_referral,ACC018116
RINGA002,ring_A_referral,ACC018117
RINGA002,ring_A_referral,ACC018118
RINGA002,ring_A_referral,ACC018119
RINGA003,ring_A_referral,ACC018120
RINGA003,ring_A_referral,ACC018121
RINGA003,ring_A_referral,ACC018122
RINGA003,ring_A_referral,ACC018123
RINGA003,ring_A_referral,ACC018124
RINGA003,ring_A_referral,ACC018125
RINGA003,ring_A_referral,ACC018126
RINGA003,ring_A_referral,ACC018127
RINGA003,ring_A_referral,ACC018128
RINGA003,ring_A_referral,ACC018129
RINGA003,ring_A_referral,ACC018130
RINGA003,ring_A_referral,ACC018131
RINGA004,ring_A_referral,ACC018132
RINGA004,ring_A_referral,ACC018133
RINGA004,ring_A_referral,ACC018134
RINGA004,ring_A_referral,ACC018135
RINGA004,ring_A_referral,ACC018136
RINGA004,ring_A_referral,ACC018137
RINGA004,ring_A_referral,ACC018138
RINGA004,ring_A_referral,ACC018139
RINGA004,ring_A_referral,ACC018140
RINGA004,ring_A_referral,ACC018141
RINGA005,ring_A_referral,ACC018142
RINGA005,ring_A_referral,ACC018143
RINGA005,ring_A_referral,ACC018144
RINGA005,ring_A_referral,ACC018145
RINGA005,ring_A_referral,ACC018146
RINGA005,ring_A_referral,ACC018147
RINGA006,ring_A_referral,ACC018148
RINGA006,ring_A_referral,ACC018149
RINGA006,ring_A_referral,ACC018150
RINGA006,ring_A_referral,ACC018151
RINGA006,ring_A_referral,ACC018152
RINGA006,ring_A_referral,ACC018153
RINGA006,ring_A_referral,ACC018154
RINGA006,ring_A_referral,ACC018155
RINGA006,ring_A_referral,ACC018156
RINGA007,ring_A_referral,ACC018157
RINGA007,ring_A_referral,ACC018158
RINGA007,ring_A_referral,ACC018159
RINGA007,ring_A_referral,ACC018160
RINGA007,ring_A_referral,ACC018161
RINGA007,ring_A_referral,ACC018162
RINGA007,ring_A_referral,ACC018163
RINGA008,ring_A_referral,ACC018164
RINGA008,ring_A_referral,ACC018165
RINGA008,ring_A_referral,ACC018166
RINGA008,ring_A_referral,ACC018167
RINGA008,ring_A_referral,ACC018168
RINGA008,ring_A_referral,ACC018169
RINGA008,ring_A_referral,ACC018170
RINGA008,ring_A_referral,ACC018171
RINGA008,ring_A_referral,ACC018172
RINGA008,ring_A_referral,ACC018173
RINGA009,ring_A_referral,ACC018174
RINGA009,ring_A_referral,ACC018175
RINGA009,ring_A_referral,ACC018176
RINGA009,ring_A_referral,ACC018177
RINGA009,ring_A_referral,ACC018178
RINGA010,ring_A_referral,ACC018179
RINGA010,ring_A_referral,ACC018180
RINGA010,ring_A_referral,ACC018181
RINGA010,ring_A_referral,ACC018182
RINGA010,ring_A_referral,ACC018183
RINGA010,ring_A_referral,ACC018184
RINGA010,ring_A_referral,ACC018185
RINGA010,ring_A_referral,ACC018186
RINGA010,ring_A_referral,ACC018187
RINGA010,ring_A_referral,ACC018188
RINGA010,ring_A_referral,ACC018189
RINGA011,ring_A_referral,ACC018190
RINGA011,ring_A_referral,ACC018191
RINGA011,ring_A_referral,ACC018192
RINGA011,ring_A_referral,ACC018193
RINGA011,ring_A_referral,ACC018194
RINGA012,ring_A_referral,ACC018195
RINGA012,ring_A_referral,ACC018196
RINGA012,ring_A_referral,ACC018197
RINGA012,ring_A_referral,ACC018198
RINGA012,ring_A_referral,ACC018199
RINGA012,ring_A_referral,ACC018200
RINGA012,ring_A_referral,ACC018201
RINGA012,ring_A_referral,ACC018202
RINGA013,ring_A_referral,ACC018203
RINGA013,ring_A_referral,ACC018204
RINGA013,ring_A_referral,ACC018205
RINGA014,ring_A_referral,ACC018206
RINGA014,ring_A_referral,ACC018207
RINGA014,ring_A_referral,ACC018208
RINGA014,ring_A_referral,ACC018209
RINGA014,ring_A_referral,ACC018210
RINGA014,ring_A_referral,ACC018211
RINGA014,ring_A_referral,ACC018212
RINGA014,ring_A_referral,ACC018213
RINGA014,ring_A_referral,ACC018214
RINGA014,ring_A_referral,ACC018215
RINGA015,ring_A_referral,ACC018216
RINGA015,ring_A_referral,ACC018217
RINGA015,ring_A_referral,ACC018218
RINGA015,ring_A_referral,ACC018219
RINGA015,ring_A_referral,ACC018220
RINGA016,ring_A_referral,ACC018221
RINGA016,ring_A_referral,ACC018222
RINGA016,ring_A_referral,ACC018223
RINGA016,ring_A_referral,ACC018224
RINGA016,ring_A_referral,ACC018225
RINGA016,ring_A_referral,ACC018226
RINGA016,ring_A_referral,ACC018227
RINGA016,ring_A_referral,ACC018228
RINGA016,ring_A_referral,ACC018229
RINGA017,ring_A_referral,ACC018230
RINGA017,ring_A_referral,ACC018231
RINGA017,ring_A_referral,ACC018232
RINGA017,ring_A_referral,ACC018233
RINGA017,ring_A_referral,ACC018234
RINGA017,ring_A_referral,ACC018235
RINGA017,ring_A_referral,ACC018236
RINGA017,ring_A_referral,ACC018237
RINGA017,ring_A_referral,ACC018238
RINGA017,ring_A_referral,ACC018239
RINGA017,ring_A_referral,ACC018240
RINGA017,ring_A_referral,ACC018241
RINGA018,ring_A_referral,ACC018242
RINGA018,ring_A_referral,ACC018243
RINGA018,ring_A_referral,ACC018244
RINGA018,ring_A_referral,ACC018245
RINGA019,ring_A_referral,ACC018246
RINGA019,ring_A_referral,ACC018247
RINGA019,ring_A_referral,ACC018248
RINGA019,ring_A_referral,ACC018249
RINGA019,ring_A_referral,ACC018250
RINGA019,ring_A_referral,ACC018251
RINGA019,ring_A_referral,ACC018252
RINGA019,ring_A_referral,ACC018253
RINGA019,ring_A_referral,ACC018254
RINGA019,ring_A_referral,ACC018255
RINGA019,ring_A_referral,ACC018256
RINGA019,ring_A_referral,ACC018257
RINGA020,ring_A_referral,ACC018258
RINGA020,ring_A_referral,ACC018259
RINGA020,ring_A_referral,ACC018260
RINGA020,ring_A_referral,ACC018261
RINGA021,ring_A_referral,ACC018262
RINGA021,ring_A_referral,ACC018263
RINGA021,ring_A_referral,ACC018264
RINGA022,ring_A_referral,ACC018265
RINGA022,ring_A_referral,ACC018266
RINGA022,ring_A_referral,ACC018267
RINGA022,ring_A_referral,ACC018268
RINGA023,ring_A_referral,ACC018269
RINGA023,ring_A_referral,ACC018270
RINGA023,ring_A_referral,ACC018271
RINGA023,ring_A_referral,ACC018272
RINGA023,ring_A_referral,ACC018273
RINGA023,ring_A_referral,ACC018274
RINGA023,ring_A_referral,ACC018275
RINGA023,ring_A_referral,ACC018276
RINGA023,ring_A_referral,ACC018277
RINGA023,ring_A_referral,ACC018278
RINGA024,ring_A_referral,ACC018279
RINGA024,ring_A_referral,ACC018280
RINGA024,ring_A_referral,ACC018281
RINGA024,ring_A_referral,ACC018282
RINGA024,ring_A_referral,ACC018283
RINGA024,ring_A_referral,ACC018284
RINGA024,ring_A_referral,ACC018285
RINGA025,ring_A_referral,ACC018286
RINGA025,ring_A_referral,ACC018287
RINGA025,ring_A_referral,ACC018288
RINGA025,ring_A_referral,ACC018289
RINGA025,ring_A_referral,ACC018290
RINGA025,ring_A_referral,ACC018291
RINGA025,ring_A_referral,ACC018292
RINGA025,ring_A_referral,ACC018293
RINGA026,ring_A_referral,ACC018294
RINGA026,ring_A_referral,ACC018295
RINGA026,ring_A_referral,ACC018296
RINGA026,ring_A_referral,ACC018297
RINGB001,ring_B_convergence,ACC018298
RINGB001,ring_B_convergence,ACC018299
RINGB001,ring_B_convergence,ACC018300
RINGB001,ring_B_convergence,ACC018301
RINGB001,ring_B_convergence,ACC018302
RINGB001,ring_B_convergence,ACC018303
RINGB001,ring_B_convergence,ACC018304
RINGB001,ring_B_convergence,ACC018305
RINGB001,ring_B_convergence,ACC018306
RINGB002,ring_B_convergence,ACC018307
RINGB002,ring_B_convergence,ACC018308
RINGB002,ring_B_convergence,ACC018309
RINGB002,ring_B_convergence,ACC018310
RINGB002,ring_B_convergence,ACC018311
RINGB002,ring_B_convergence,ACC018312
RINGB002,ring_B_convergence,ACC018313
RINGB002,ring_B_convergence,ACC018314
RINGB002,ring_B_convergence,ACC018315
RINGB002,ring_B_convergence,ACC018316
RINGB002,ring_B_convergence,ACC018317
RINGB002,ring_B_convergence,ACC018318
RINGB002,ring_B_convergence,ACC018319
RINGB003,ring_B_convergence,ACC018320
RINGB003,ring_B_convergence,ACC018321
RINGB003,ring_B_convergence,ACC018322
RINGB003,ring_B_convergence,ACC018323
RINGB003,ring_B_convergence,ACC018324
RINGB003,ring_B_convergence,ACC018325
RINGB004,ring_B_convergence,ACC018326
RINGB004,ring_B_convergence,ACC018327
RINGB004,ring_B_convergence,ACC018328
RINGB004,ring_B_convergence,ACC018329
RINGB004,ring_B_convergence,ACC018330
RINGB004,ring_B_convergence,ACC018331
RINGB004,ring_B_convergence,ACC018332
RINGB004,ring_B_convergence,ACC018333
RINGB004,ring_B_convergence,ACC018334
RINGB004,ring_B_convergence,ACC018335
RINGB004,ring_B_convergence,ACC018336
RINGB004,ring_B_convergence,ACC018337
RINGB004,ring_B_convergence,ACC018338
RINGB004,ring_B_convergence,ACC018339
RINGB005,ring_B_convergence,ACC018340
RINGB005,ring_B_convergence,ACC018341
RINGB005,ring_B_convergence,ACC018342
RINGB005,ring_B_convergence,ACC018343
RINGB005,ring_B_convergence,ACC018344
RINGB005,ring_B_convergence,ACC018345
RINGB005,ring_B_convergence,ACC018346
RINGB005,ring_B_convergence,ACC018347
RINGB005,ring_B_convergence,ACC018348
RINGB005,ring_B_convergence,ACC018349
RINGB006,ring_B_convergence,ACC018350
RINGB006,ring_B_convergence,ACC018351
RINGB006,ring_B_convergence,ACC018352
RINGB006,ring_B_convergence,ACC018353
RINGB006,ring_B_convergence,ACC018354
RINGB006,ring_B_convergence,ACC018355
RINGB006,ring_B_convergence,ACC018356
RINGB006,ring_B_convergence,ACC018357
RINGB007,ring_B_convergence,ACC018358
RINGB007,ring_B_convergence,ACC018359
RINGB007,ring_B_convergence,ACC018360
RINGB007,ring_B_convergence,ACC018361
RINGB007,ring_B_convergence,ACC018362
RINGB007,ring_B_convergence,ACC018363
RINGB007,ring_B_convergence,ACC018364
RINGB007,ring_B_convergence,ACC018365
RINGB007,ring_B_convergence,ACC018366
RINGB007,ring_B_convergence,ACC018367
RINGB007,ring_B_convergence,ACC018368
RINGB007,ring_B_convergence,ACC018369
RINGB007,ring_B_convergence,ACC018370
RINGB007,ring_B_convergence,ACC018371
RINGB008,ring_B_convergence,ACC018372
RINGB008,ring_B_convergence,ACC018373
RINGB008,ring_B_convergence,ACC018374
RINGB008,ring_B_convergence,ACC018375
RINGB009,ring_B_convergence,ACC018376
RINGB009,ring_B_convergence,ACC018377
RINGB009,ring_B_convergence,ACC018378
RINGB009,ring_B_convergence,ACC018379
RINGB009,ring_B_convergence,ACC018380
RINGB009,ring_B_convergence,ACC018381
RINGB009,ring_B_convergence,ACC018382
RINGB009,ring_B_convergence,ACC018383
RINGB009,ring_B_convergence,ACC018384
RINGB009,ring_B_convergence,ACC018385
RINGB009,ring_B_convergence,ACC018386
RINGB010,ring_B_convergence,ACC018387
RINGB010,ring_B_convergence,ACC018388
RINGB010,ring_B_convergence,ACC018389
RINGB010,ring_B_convergence,ACC018390
RINGB010,ring_B_convergence,ACC018391
RINGB010,ring_B_convergence,ACC018392
RINGB010,ring_B_convergence,ACC018393
RINGB010,ring_B_convergence,ACC018394
RINGB011,ring_B_convergence,ACC018395
