account_id,split
ACC000001,train
ACC000002,test
ACC000003,train
ACC000004,test
ACC000005,train
ACC000006,test
ACC000007,train
ACC000008,train
ACC000009,train
ACC000010,train
ACC000011,train
ACC000012,train
ACC000013,train
ACC000014,train
ACC000015,test
ACC000016,train
ACC000017,train
ACC000018,test
ACC000019,test
ACC000020,test
ACC000021,train
ACC000022,train
ACC000023,train
ACC000024,test
ACC000025,test
ACC000026,test
ACC000027,train
ACC000028,test
ACC000029,train
ACC000030,train
ACC000031,train
ACC000032,train
ACC000033,train
ACC000034,test
ACC000035,train
ACC000036,train
ACC000037,train
ACC000038,train
ACC000039,train
ACC000040,train
ACC000041,train
ACC000042,test
ACC000043,test
ACC000044,train
ACC000045,train
ACC000046,train
ACC000047,train
ACC000048,train
ACC000049,train
ACC000050,train
ACC000051,train
ACC000052,train
ACC000053,train
ACC000054,train
ACC000055,train
ACC000056,test
ACC000057,train
ACC000058,test
ACC000059,test
ACC000060,train
ACC000061,test
ACC000062,train
ACC000063,train
ACC000064,train
ACC000065,train
ACC000066,train
ACC000067,train
ACC000068,train
ACC000069,test
ACC000070,train
ACC000071,train
ACC000072,train
ACC000073,train
ACC000074,train
ACC000075,train
ACC000076,train
ACC000077,train
ACC000078,train
ACC000079,train
ACC000080,test
ACC000081,train
ACC000082,train
ACC000083,train
ACC000084,test
ACC000085,test
ACC000086,test
ACC000087,train
ACC000088,train
ACC000089,train
ACC000090,train
ACC000091,train
ACC000092,train
ACC000093,train
ACC000094,train
ACC000095,train
ACC000096,train
ACC000097,train
ACC000098,test
ACC000099,test
ACC000100,train
ACC000101,train
ACC000102,train
ACC000103,test
ACC000104,train
ACC000105,train
ACC000106,train
ACC000107,test
ACC000108,train
ACC000109,train
ACC000110,train
ACC000111,test
ACC000112,train
ACC000113,train
ACC000114,train
ACC000115,train
ACC000116,train
ACC000117,train
ACC000118,train
ACC000119,train
ACC000120,train
ACC000121,train
ACC000122,train
ACC000123,train
ACC000124,train
ACC000125,train
ACC000126,test
ACC000127,train
ACC000128,train
ACC000129,train
ACC000130,train
ACC000131,train
ACC000132,train
ACC000133,test
ACC000134,train
ACC000135,train
ACC000136,train
ACC000137,test
ACC000138,train
ACC000139,train
ACC000140,train
ACC000141,train
ACC000142,train
ACC000143,test
ACC000144,train
ACC000145,test
ACC000146,train
ACC000147,train
ACC000148,train
ACC000149,train
ACC000150,test
ACC000151,test
ACC000152,test
ACC000153,train
ACC000154,train
ACC000155,train
ACC000156,test
ACC000157,test
ACC000158,test
ACC000159,train
ACC000160,train
ACC000161,train
ACC000162,train
ACC000163,train
ACC000164,train
ACC000165,train
ACC000166,train
ACC000167,train
ACC000168,train
ACC000169,train
ACC000170,train
ACC000171,test
ACC000172,train
ACC000173,train
ACC000174,train
ACC000175,train
ACC000176,test
ACC000177,test
ACC000178,test
ACC000179,train
ACC000180,train
ACC000181,train
ACC000182,test
ACC000183,train
ACC000184,train
ACC000185,train
ACC000186,train
ACC000187,train
ACC000188,train
ACC000189,train
ACC000190,test
ACC000191,test
ACC000192,test
ACC000193,train
ACC000194,test
ACC000195,train
ACC000196,train
ACC000197,train
ACC000198,train
ACC000199,test
ACC000200,test
ACC000201,train
ACC000202,train
ACC000203,train
ACC000204,test
ACC000205,train
ACC000206,train
ACC000207,test
ACC000208,train
ACC000209,train
ACC000210,train
ACC000211,test
ACC000212,train
ACC000213,train
ACC000214,train
ACC000215,test
ACC000216,test
ACC000217,train
ACC000218,train
ACC000219,train
ACC000220,train
ACC000221,train
ACC000222,train
ACC000223,test
ACC000224,train
ACC000225,test
ACC000226,train
ACC000227,train
ACC000228,train
ACC000229,train
ACC000230,train
ACC000231,train
ACC000232,train
ACC000233,train
ACC000234,test
ACC000235,train
ACC000236,test
ACC000237,train
ACC000238,train
ACC000239,test
ACC000240,train
ACC000241,train
ACC000242,train
ACC000243,test
ACC000244,train
ACC000245,test
ACC000246,test
ACC000247,test
ACC000248,train
ACC000249,train
ACC000250,train
ACC000251,train
ACC000252,train
ACC000253,train
ACC000254,train
ACC000255,train
ACC000256,train
ACC000257,train
ACC000258,train
ACC000259,train
ACC000260,train
ACC000261,train
ACC000262,train
ACC000263,test
ACC000264,train
ACC000265,train
ACC000266,train
ACC000267,test
ACC000268,train
ACC000269,train
ACC000270,train
ACC000271,test
ACC000272,train
ACC000273,train
ACC000274,train
ACC000275,train
ACC000276,train
ACC000277,test
ACC000278,train
ACC000279,train
ACC000280,train
ACC000281,train
ACC000282,train
ACC000283,test
ACC000284,train
ACC000285,train
ACC000286,train
ACC000287,test
ACC000288,train
ACC000289,test
ACC000290,train
ACC000291,train
ACC000292,train
ACC000293,train
ACC000294,train
ACC000295,train
ACC000296,train
ACC000297,train
ACC000298,train
ACC000299,train
ACC000300,train
